num_jobs 100000000 num_servers 2 seed 0 dist Hyperexp(1.0, 1.0, 1.0)
rho;SRPT;SRPTExcept(0.5, 0.5);SRPTExcept(1.0, 1.0);SRPTExcept(2.0, 2.0);SRPTExcept(3.0, 3.0);SRPTExcept(4.0, 4.0)
0.88;4.114878751581614;4.108417484596866;4.111116754360977;4.154414780311848;4.167730667035985;4.153227046515385
0.9;4.500183423968695;4.492766776274188;4.492388030625889;4.534540639536842;4.5532600323660555;4.542178528039452
0.903;4.569523418057893;4.561952158533557;4.5610175596342035;4.60285775283812;4.622410153186593;4.611995131092496
0.906;4.64254575998818;4.634827540183313;4.633377465629641;4.674915445365706;4.695309702851195;4.685556156208478
0.91;4.746490247808968;4.738562175161724;4.736345212812497;4.7772185797899365;4.798763389153013;4.7900091930706346
0.913;4.829736966655689;4.821662210111213;4.818930630297527;4.859491794573294;4.881700567709256;4.873738740640254
0.916;4.917880864741473;4.909675457671281;4.906375667398368;4.94641423278137;4.969519084608045;4.962334567471636
0.92;5.044530891471871;5.036073002109846;5.032036555403249;5.071248440839575;5.0953705256641;5.089431280447414
0.923;5.146838366924908;5.13826568284688;5.133521618108124;5.17212400012358;5.19713680529644;5.192057003094047
0.926;5.256059152898335;5.2473165762119915;5.241992914977523;5.280007884266657;5.305777702289438;5.301616928111721
0.93;5.41422154873024;5.405332006233103;5.39917902173814;5.436098542169025;5.462856130491357;5.4599126600542025
0.933;5.543551157070499;5.5345056597882465;5.527696037320292;5.56371178050482;5.591327130967958;5.589388591713814
0.936;5.683149468489871;5.6739952132604055;5.666683798363211;5.701720531925142;5.730016937528991;5.729321639171531
0.94;5.888206503958435;5.878834730819972;5.870627366111424;5.904574468718393;5.933778824804697;5.934518899448659
0.943;6.05862995103956;6.049141091425977;6.040245696784999;6.073129490890278;6.1029919740777805;6.1049003339574215
0.946;6.245873038013265;6.236188945039504;6.22647840222347;6.258200580364714;6.288855384906733;6.291914472458293
0.95;6.52612180326771;6.516300409659274;6.505614975826679;6.535608371555323;6.567000038860557;6.571923692054329
0.952;6.681545766086752;6.671636928474941;6.660413388265691;6.6893338743788835;6.7210433456876375;6.726909436841071
0.954;6.848312679420498;6.838308105983102;6.826597072026167;6.854365015601556;6.886439169563003;6.8930542394860295
0.956;7.028552048412822;7.018437452209485;7.006244582493255;7.032923351787631;7.065002391419961;7.072640641927912
0.958;7.223846974057448;7.213742769987631;7.201146132368359;7.226987522779365;7.259397309809261;7.267744537146506
0.96;7.436718698098583;7.426548513833043;7.413422077361068;7.4380808303922175;7.47069339272281;7.480054577736433
0.962;7.66931911795239;7.65913744952105;7.645688167166543;7.669180772252438;7.701926244311881;7.712255514387467
0.964;7.924569470036821;7.914363017032137;7.90052006467377;7.922955655114431;7.9556359644569445;7.966867115876707
0.966;8.206154182276684;8.19582322441581;8.181389868307177;8.20256840265827;8.235292910197561;8.247540344199098
0.968;8.518036422960568;8.507645540857173;8.492616557044263;8.512449495420416;8.544911437691232;8.558056045287435
0.97;8.866517054736732;8.856064589049407;8.840250567354268;8.85897315782699;8.891573769175862;8.905684758108336
0.972;9.259037378175902;9.248683539157732;9.23251194946383;9.24944714476377;9.28214612966154;9.297021072674713
0.974;9.705049453275429;9.694707267094019;9.677911318447338;9.693085517043624;9.725367977245707;9.741106953933564
0.976;10.219716304729399;10.209340518026059;10.192109859888072;10.205697785920808;10.23746470715584;10.254095806933206
0.978;10.819119251353472;10.808737668691776;10.791083103092719;10.802975420096766;10.834234230584256;10.851646296476616
0.98;11.524842203829289;11.514391140913133;11.496381687284174;11.506910895429487;11.537656248670569;11.555957035816135
0.983;12.84666068626186;12.836282025165277;12.817645861964746;12.825035114562189;12.854478426527285;12.873438862208376
0.986;14.646913541178968;14.636571243103877;14.617164420005588;14.621723104627717;14.64949986512448;14.669289546047118
0.99;18.48108656160786;18.470916435243875;18.450456703267434;18.45076466059816;18.47565158471246;18.49497908677329
0.993;23.8917054432615;23.881938260268964;23.861471020131273;23.859149967550106;23.880714760932182;23.90014807583961
0.996;36.30197762360846;36.29308027415079;36.27255183155914;36.26663951538895;36.28238169226731;36.29870890401466
