num_jobs 10000000 num_servers 2 seed 0 dist Hyperexp(1.0, 1.0, 1.0)
rho;SRPT;SRPTExcept(0.1);SRPTExcept(0.2);SRPTExcept(0.5);SRPTExcept(1.0);SRPTExcept(1.5);PSJF;RS
0.93;5.435749070115754;5.435542694002493;5.434537551247058;5.427191834539482;5.42126677021566;5.435783906812881;6.100688037793656;5.508297660976659
0.933;5.564783410972151;5.564579887125063;5.563529948258364;5.555902449368592;5.549237385344978;5.563142444330541;6.246049124422767;5.638953184141243
0.936;5.703703474137599;5.703481812476;5.702425098127945;5.6946764872837425;5.6875648526137095;5.700510969725884;6.404719836879184;5.779277241057292
0.94;5.907454878075557;5.907241028868676;5.906145308003375;5.898066679754737;5.89033618410355;5.902401457823953;6.635339966349256;5.984395936521595
0.943;6.077060456363584;6.07684878913747;6.075788127303897;6.067626379323106;6.059169649860472;6.0708622809018005;6.825603425333168;6.155188781964699
0.946;6.262233647311567;6.262030821137233;6.260891048631893;6.252523347269961;6.243210919149979;6.254355525196548;7.033896918666277;6.34185475737904
0.95;6.540503513049948;6.540294704249226;6.539165204742105;6.5307737848074625;6.520200175592812;6.530372373588764;7.3410488518789885;6.6235771042729095
0.952;6.69591571669048;6.695715946959262;6.6945717926461095;6.6860672580087686;6.675217195451091;6.6845784089220235;7.517191247154791;6.779589550687188
0.954;6.862041490567051;6.861837547977851;6.860699916890864;6.851949548029063;6.840542058975481;6.849208048819742;7.702834312584005;6.946676860334575
0.956;7.0418576215437625;7.041644403408491;7.040476409321755;7.03162656035268;7.019291536945689;7.027215808115649;7.904573628130457;7.1280360117496535
0.958;7.237099898834078;7.236900473298467;7.23575801028956;7.226967158384608;7.21424066200835;7.221652621711466;8.121208302395173;7.324174176648381
0.96;7.449927796991102;7.449713155472785;7.448604760794085;7.439770702685;7.4264090795795905;7.433021199680072;8.355601364428738;7.539202162296818
0.962;7.682712049333146;7.682499548267308;7.681396643951392;7.672434219803345;7.659032509433439;7.664764043243033;8.608888570855019;7.773349462827179
0.964;7.938301509777092;7.938097713109033;7.936959240928461;7.928049280056951;7.914197217208536;7.919144475917808;8.890688296005749;8.030823811109318
0.966;8.222199555269286;8.221983550756693;8.220820182717834;8.21175269673062;8.197735597085059;8.202205963951572;9.19653481940322;8.315844548756823
0.968;8.533190116222983;8.532969381076052;8.53186364140185;8.522481905911013;8.507946847367117;8.511726984686653;9.54171944548621;8.628207388593612
0.97;8.878243678008447;8.878042101298101;8.87693410409854;8.86779826351334;8.852959293246776;8.856523926402975;9.909643303850517;8.97473196782231
0.972;9.26304067695724;9.262842747995364;9.261729801474303;9.252796881280833;9.237351236008251;9.240524218277232;10.327555169436401;9.361679262809014
0.974;9.696365523588824;9.696168265794176;9.694991842517183;9.685727002635687;9.669203320689393;9.670936261071214;10.796187068886182;9.797312830599624
0.976;10.196986475963199;10.19679892635448;10.195651208317674;10.186524790066665;10.169069471900285;10.168629735937541;11.332632216142004;10.300852743677675
0.978;10.776963039709216;10.77677767570512;10.77573852945368;10.766379417911008;10.74856775483166;10.746764896078849;11.955985457716515;10.883134564297473
0.98;11.465601300103119;11.465401392791742;11.464290702542943;11.454964882739175;11.437279581366468;11.436077588073152;12.689466419199258;11.574977772741736
0.983;12.784193825087215;12.784011577626154;12.782929737234173;12.77364640765049;12.754642180591697;12.752603191201946;14.103371101176458;12.897714635746816
0.986;14.596865254149586;14.596634616552299;14.595518077090633;14.58650188466516;14.565254326482544;14.56174371044972;16.009738722464775;14.715119413074145
0.99;18.49003856985952;18.489873903393917;18.488875378298705;18.47958161820263;18.458389583636226;18.4529957642157;20.078737331013397;18.616116758293803
0.993;24.09278979715346;24.092640252826847;24.091926103759747;24.082923563659598;24.05830779545798;24.051469075830507;25.900815171528578;24.223780865417655
0.996;38.561977621912476;38.56188381587154;38.56139083625845;38.55336878263481;38.52902088718912;38.521678504712575;40.63715012996802;38.702253846833194
